session_id,user_id,session_token,session_status,login_time,logout_time
ce43585b-3274-47a2-a98b-5a3228001b4a,11d1e4a9-16f2-402d-9438-b63d1fc7d391,sess_e102b96e59694468b021,Expired,2026-06-19 15:14:04,2026-06-19 16:26:04
e0d8b84a-0a2e-4ca0-a7a4-d0f8278a09b9,adbbaac1-6a35-4892-a823-899e66b8bc96,sess_bb043bb5368741e3a337,Expired,2026-06-19 15:14:04,2026-06-19 20:14:04
1eeb4a52-8e41-4a2e-a530-7b51cee1202b,9b2bddc9-0778-4dcc-98eb-5dcab4d96abb,sess_4bae17b1c4224a5dac7b,Expired,2026-06-19 15:14:09,2026-06-19 20:42:09
6d65f326-266b-4227-ba11-509f19ecf50b,74062849-500e-4c97-afac-e84aea86b98c,sess_9629baddda864047832c,Expired,2026-06-19 15:14:09,2026-06-19 16:35:09
4a42f689-be6b-4c18-8c0d-5acc3e7ffdd6,159d8478-e1f1-4659-ba24-bd998b027043,sess_a1acd50b3d1e4bd3adab,Expired,2026-06-19 15:14:15,2026-06-19 18:28:15
480e8cb7-60d0-4760-9f8d-9dc9fdff9e22,ce6a162c-7f4a-4efb-a41e-d1f22735c959,sess_56ef0821e9b7491e83ab,Expired,2026-06-19 15:14:20,2026-06-19 18:41:20
0be495eb-6318-4dcf-9706-588606fdc4ce,93c0b579-a35e-4958-8a52-2e2ad081925a,sess_67c9d1534d7646d9996e,Expired,2026-06-19 15:14:20,2026-06-19 15:42:20
f3056a18-c868-4508-a237-b859766ba3ea,ed727436-b688-4a39-8c53-2d02eb4a08f2,sess_ed9ace57d4b441fe98d6,Expired,2026-06-19 15:14:25,2026-06-19 21:34:25
8d9906a5-96df-404e-909f-14617efa704e,8adb25e0-f86e-4dd5-81ba-5a8a8b0a2d1b,sess_832a17e6b73744e4987b,Expired,2026-06-19 15:14:54,2026-06-19 17:18:54
66d5b49a-49f9-4491-b725-292a2edfb69e,c6f64f75-a3dc-4c92-a3e1-5f34e1faa3de,sess_1419142665be46dcb9c2,Expired,2026-06-19 15:14:54,2026-06-19 22:27:54
7aa59f74-4900-49ba-b099-0bb96c51e2ac,394f805e-cbd3-4103-9f84-35c07c6cecce,sess_64cce60cb5584cb7aab5,Expired,2026-06-19 15:14:59,2026-06-19 15:37:59
a15ebca5-588b-4247-ac65-4f956e594aec,1ea92dfa-82b8-45d7-9f34-519eaefb09bb,sess_343a866a0b2f49cd934f,Expired,2026-06-19 15:14:59,2026-06-19 16:26:59
0e666a2f-efff-4bad-85bc-4fddc73e2d85,f2752f10-85d0-4817-826c-08f2498125d8,sess_15ca132249594baf8c96,Expired,2026-06-19 15:15:05,2026-06-19 19:54:05
eed7f1d0-2d95-43a9-8479-25deb8c9680c,bea98fc3-bf12-4f7a-bd7f-226439f0ce8c,sess_2129e047097d455187a5,Expired,2026-06-19 15:15:09,2026-06-19 17:57:09
7255c794-0012-4551-a861-52baf8a2125a,17ee4966-ae1a-41c1-8d8a-ccf56cce0a2c,sess_d57ca07da6c841d6894d,Expired,2026-06-19 15:15:09,2026-06-19 22:37:09
c07727d6-cee2-453b-a66a-c678eb3b9e5b,8f52121c-09af-4595-85aa-0a4cf25db959,sess_23f0e6622e854f9bacf8,Expired,2026-06-19 15:15:09,2026-06-19 20:11:09
2bc645aa-ae51-4ce6-8c83-713a6d4867d8,ebd07a68-3b3e-424e-a317-06177cba0f9c,sess_b26c5d9fdff2475f97e5,Expired,2026-06-19 15:15:14,2026-06-19 20:03:14
3a065dad-2e0d-4b2a-bbbd-ba4d5db518fb,5de6520c-e379-4268-87cb-836090d4f825,sess_32961880d9e0422ab3d7,Expired,2026-06-19 15:15:19,2026-06-19 23:14:19
7d14ea3a-f068-410f-a75e-0f56f1c85f32,55900249-acc2-4c4d-b6f5-851cc5569500,sess_46b4a61874dc4571aa6d,Expired,2026-06-19 15:15:19,2026-06-19 19:22:19
e88cb61b-20c5-44fa-8732-0f593b1cac78,adf45f32-dc41-439f-bff6-d0a586f1eec9,sess_9b775db95627430f86d7,Expired,2026-06-19 15:15:19,2026-06-19 20:48:19
aef78e4d-693d-4264-b5f8-da3a65c64b1d,f2752f10-85d0-4817-826c-08f2498125d8,sess_acf6de2da60347548a4a,Expired,2026-06-19 15:15:25,2026-06-19 22:37:25
b5325662-50d4-4a40-bdc9-71d35e6918fd,9183c028-455a-43b7-8803-7ce65d08f167,sess_2f5d6c9c5015483baa60,Expired,2026-06-19 15:15:25,2026-06-19 22:58:25
